================================================================================              
评估报告                                                                                      
================================================================================              
总体准确率: 78.76%                                                                            
================================================================================              
类别                             精确率          召回率          F1分数                       
052.Pied_billed_Grebe          0.7500       1.0000       0.8571      
053.Western_Grebe              1.0000       1.0000       1.0000      
054.Blue_Grosbeak              1.0000       0.8333       0.9091      
055.Evening_Grosbeak           1.0000       1.0000       1.0000      
056.Pine_Grosbeak              1.0000       1.0000       1.0000      
057.Rose_breasted_Grosbeak     1.0000       1.0000       1.0000      
058.Pigeon_Guillemot           0.8000       0.6667       0.7273      
059.California_Gull            0.5000       0.1667       0.2500      
060.Glaucous_winged_Gull       0.6000       0.5000       0.5455      
061.Heermann_Gull              1.0000       0.6667       0.8000      
062.Herring_Gull               0.7143       0.8333       0.7692      
063.Ivory_Gull                 0.8000       0.6667       0.7273      
064.Ring_billed_Gull           0.8000       0.6667       0.7273      
065.Slaty_backed_Gull          0.0000       0.0000       0.0000      
066.Western_Gull               0.5714       0.6667       0.6154      
067.Anna_Hummingbird           0.6000       0.5000       0.5455      
068.Ruby_throated_Humming...   0.7500       0.5000       0.6000      
069.Rufous_Hummingbird         0.6250       0.8333       0.7143      
070.Green_Violetear            1.0000       1.0000       1.0000      
071.Long_tailed_Jaeger         0.6667       0.6667       0.6667      
072.Pomarine_Jaeger            0.6000       0.5000       0.5455      
073.Blue_Jay                   1.0000       0.6667       0.8000      
074.Florida_Jay                1.0000       0.6667       0.8000      
075.Green_Jay                  1.0000       1.0000       1.0000      
076.Dark_eyed_Junco            0.7143       0.8333       0.7692      
077.Tropical_Kingbird          1.0000       0.6667       0.8000      
078.Gray_Kingbird              0.6667       1.0000       0.8000      
079.Belted_Kingfisher          0.8333       0.8333       0.8333      
080.Green_Kingfisher           0.7143       0.8333       0.7692      
081.Pied_Kingfisher            1.0000       0.8333       0.9091      
082.Ringed_Kingfisher          0.8333       0.8333       0.8333      
083.White_breasted_Kingfi...   1.0000       0.8333       0.9091      
084.Red_legged_Kittiwake       0.8000       0.6667       0.7273      
085.Horned_Lark                0.8571       1.0000       0.9231      
086.Pacific_Loon               0.6000       1.0000       0.7500      
087.Mallard                    1.0000       0.8333       0.9091      
088.Western_Meadowlark         1.0000       1.0000       1.0000      
089.Hooded_Merganser           1.0000       1.0000       1.0000      
090.Red_breasted_Merganser     1.0000       1.0000       1.0000      
091.Mockingbird                0.7500       0.5000       0.6000      
092.Nighthawk                  0.8000       0.6667       0.7273      
093.Clark_Nutcracker           1.0000       1.0000       1.0000      
094.White_breasted_Nuthatch    1.0000       1.0000       1.0000      
095.Baltimore_Oriole           0.8000       0.6667       0.7273      
096.Hooded_Oriole              0.8571       1.0000       0.9231                               
097.Orchard_Oriole             1.0000       0.6667       0.8000                               
098.Scott_Oriole               0.7500       1.0000       0.8571      
099.Ovenbird                   1.0000       0.6667       0.8000      
100.Brown_Pelican              1.0000       1.0000       1.0000      
101.White_Pelican              0.6667       0.8000       0.7273      
102.Western_Wood_Pewee         0.5000       0.8333       0.6250      
103.Sayornis                   0.6000       0.5000       0.5455      
104.American_Pipit             0.8333       0.8333       0.8333      
105.Whip_poor_Will             0.7500       0.6000       0.6667      
106.Horned_Puffin              0.8333       0.8333       0.8333      
107.Common_Raven               0.3750       0.5000       0.4286      
108.White_necked_Raven         1.0000       0.1667       0.2857      
109.American_Redstart          1.0000       0.6667       0.8000      
110.Geococcyx                  0.8571       1.0000       0.9231      
111.Loggerhead_Shrike          0.7143       0.8333       0.7692      
112.Great_Grey_Shrike          0.7500       0.5000       0.6000      
113.Baird_Sparrow              0.7143       1.0000       0.8333      
114.Black_throated_Sparrow     0.8333       0.8333       0.8333      
115.Brewer_Sparrow             0.6000       1.0000       0.7500      
116.Chipping_Sparrow           0.5000       0.3333       0.4000      
117.Clay_colored_Sparrow       0.5714       0.6667       0.6154      
118.House_Sparrow              1.0000       1.0000       1.0000      
119.Field_Sparrow              0.8000       0.6667       0.7273      
120.Fox_Sparrow                1.0000       0.6667       0.8000      
121.Grasshopper_Sparrow        0.6667       1.0000       0.8000      
122.Harris_Sparrow             1.0000       0.5000       0.6667      
123.Henslow_Sparrow            1.0000       0.6667       0.8000      
124.Le_Conte_Sparrow           1.0000       0.5000       0.6667      
125.Lincoln_Sparrow            0.8571       1.0000       0.9231   
126.Nelson_Sharp_tailed_S...   0.8000       0.6667       0.7273                     
127.Savannah_Sparrow           1.0000       0.8333       0.9091      
128.Seaside_Sparrow            0.5455       1.0000       0.7059      
129.Song_Sparrow               0.8571       1.0000       0.9231      
130.Tree_Sparrow               0.5714       0.6667       0.6154      
131.Vesper_Sparrow             0.6667       0.6667       0.6667      
132.White_crowned_Sparrow      1.0000       0.5000       0.6667      
133.White_throated_Sparrow     1.0000       1.0000       1.0000      
134.Cape_Glossy_Starling       1.0000       1.0000       1.0000      
135.Bank_Swallow               0.6000       0.5000       0.5455      
136.Barn_Swallow               1.0000       0.8333       0.9091      
137.Cliff_Swallow              0.8333       0.8333       0.8333      
138.Tree_Swallow               1.0000       0.8333       0.9091      
139.Scarlet_Tanager            1.0000       1.0000       1.0000      
140.Summer_Tanager             1.0000       1.0000       1.0000      
141.Artic_Tern                 1.0000       0.6667       0.8000      
142.Black_Tern                 0.5714       0.6667       0.6154      
143.Caspian_Tern               0.6667       0.6667       0.6667      
144.Common_Tern                0.5714       0.6667       0.6154      
145.Elegant_Tern               0.8000       0.6667       0.7273      
146.Forsters_Tern              0.7143       0.8333       0.7692      
147.Least_Tern                 0.8000       0.6667       0.7273      
148.Green_tailed_Towhee        1.0000       1.0000       1.0000      
149.Brown_Thrasher             0.8333       0.8333       0.8333      
150.Sage_Thrasher              0.7143       0.8333       0.7692      
151.Black_capped_Vireo         1.0000       0.8333       0.9091      
152.Blue_headed_Vireo          1.0000       1.0000       1.0000      
153.Philadelphia_Vireo         0.3333       0.5000       0.4000      
154.Red_eyed_Vireo             0.7143       0.8333       0.7692      
155.Warbling_Vireo             0.5000       0.8333       0.6250      
156.White_eyed_Vireo           1.0000       0.8333       0.9091      
157.Yellow_throated_Vireo      0.8000       0.6667       0.7273      
158.Bay_breasted_Warbler       1.0000       1.0000       1.0000      
159.Black_and_white_Warbler    0.7500       1.0000       0.8571      
160.Black_throated_Blue_W...   1.0000       0.8333       0.9091      
161.Blue_winged_Warbler        0.8571       1.0000       0.9231      
162.Canada_Warbler             0.8333       0.8333       0.8333      
163.Cape_May_Warbler           1.0000       0.8333       0.9091      
164.Cerulean_Warbler           0.8333       0.8333       0.8333      
165.Chestnut_sided_Warbler     1.0000       0.6667       0.8000      
166.Golden_winged_Warbler      1.0000       0.8333       0.9091      
167.Hooded_Warbler             0.8571       1.0000       0.9231      
168.Kentucky_Warbler           0.8333       0.8333       0.8333      
169.Magnolia_Warbler           1.0000       1.0000       1.0000      
170.Mourning_Warbler           0.7143       0.8333       0.7692      
171.Myrtle_Warbler             1.0000       1.0000       1.0000      
172.Nashville_Warbler          1.0000       1.0000       1.0000      
173.Orange_crowned_Warbler     0.5714       0.6667       0.6154      
174.Palm_Warbler               0.7500       1.0000       0.8571      
175.Pine_Warbler               0.5556       0.8333       0.6667      
176.Prairie_Warbler            1.0000       1.0000       1.0000      
177.Prothonotary_Warbler       1.0000       1.0000       1.0000      
178.Swainson_Warbler           0.4444       0.6667       0.5333      
179.Tennessee_Warbler          0.6667       0.3333       0.4444      
180.Wilson_Warbler             1.0000       0.8333       0.9091      
181.Worm_eating_Warbler        1.0000       0.6667       0.8000      
182.Yellow_Warbler             1.0000       0.8333       0.9091      
183.Northern_Waterthrush       1.0000       1.0000       1.0000      
184.Louisiana_Waterthrush      1.0000       0.8333       0.9091      
185.Bohemian_Waxwing           1.0000       1.0000       1.0000      
186.Cedar_Waxwing              1.0000       1.0000       1.0000      
187.American_Three_toed_W...   0.8000       0.8000       0.8000      
188.Pileated_Woodpecker        1.0000       1.0000       1.0000      
189.Red_bellied_Woodpecker     1.0000       1.0000       1.0000      
190.Red_cockaded_Woodpecker    1.0000       1.0000       1.0000      
191.Red_headed_Woodpecker      1.0000       1.0000       1.0000      
192.Downy_Woodpecker           1.0000       1.0000       1.0000      
193.Bewick_Wren                0.8000       0.6667       0.7273      
194.Cactus_Wren                0.8571       1.0000       0.9231      
195.Carolina_Wren              0.8571       1.0000       0.9231      
196.House_Wren                 0.6000       0.5000       0.5455      
197.Marsh_Wren                 0.8000       0.6667       0.7273      
198.Rock_Wren                  0.6667       0.6667       0.6667      
199.Winter_Wren                0.7500       1.0000       0.8571      
200.Common_Yellowthroat        0.8333       0.8333       0.8333      
--------------------------------------------------------------------------------
平均                             0.8076       0.7868       0.7820      
================================================================================

