================================================================================                 
评估报告                                                                                         
================================================================================                 
总体准确率: 62.80%                                                                               
================================================================================                 
类别                             精确率          召回率          F1分数                          
054.Blue_Grosbeak              1.0000       1.0000       1.0000      
055.Evening_Grosbeak           1.0000       0.8333       0.9091      
056.Pine_Grosbeak              0.6250       0.8333       0.7143      
057.Rose_breasted_Grosbeak     1.0000       1.0000       1.0000      
058.Pigeon_Guillemot           0.6000       0.5000       0.5455      
059.California_Gull            0.4000       0.3333       0.3636      
060.Glaucous_winged_Gull       0.0000       0.0000       0.0000      
061.Heermann_Gull              0.8000       0.6667       0.7273      
062.Herring_Gull               0.7500       0.5000       0.6000      
063.Ivory_Gull                 0.7500       0.5000       0.6000      
064.Ring_billed_Gull           0.6667       0.6667       0.6667      
065.Slaty_backed_Gull          0.2000       0.2000       0.2000      
066.Western_Gull               0.3636       0.6667       0.4706      
067.Anna_Hummingbird           0.5000       0.5000       0.5000      
068.Ruby_throated_Humming...   0.5714       0.6667       0.6154      
069.Rufous_Hummingbird         0.6667       0.6667       0.6667      
070.Green_Violetear            0.8333       0.8333       0.8333      
071.Long_tailed_Jaeger         0.4000       0.3333       0.3636      
072.Pomarine_Jaeger            0.4000       0.3333       0.3636      
073.Blue_Jay                   1.0000       0.8333       0.9091      
074.Florida_Jay                0.5000       0.5000       0.5000      
075.Green_Jay                  1.0000       1.0000       1.0000      
076.Dark_eyed_Junco            0.1667       0.1667       0.1667      
077.Tropical_Kingbird          0.8000       0.6667       0.7273      
078.Gray_Kingbird              0.6667       0.6667       0.6667      
079.Belted_Kingfisher          0.4286       0.5000       0.4615      
080.Green_Kingfisher           1.0000       0.1667       0.2857      
081.Pied_Kingfisher            0.8333       0.8333       0.8333      
082.Ringed_Kingfisher          0.6000       0.5000       0.5455      
083.White_breasted_Kingfi...   0.8333       0.8333       0.8333      
084.Red_legged_Kittiwake       1.0000       0.8333       0.9091      
085.Horned_Lark                0.8000       0.6667       0.7273      
086.Pacific_Loon               0.7143       0.8333       0.7692      
087.Mallard                    0.7500       0.5000       0.6000      
088.Western_Meadowlark         0.8571       1.0000       0.9231      
089.Hooded_Merganser           0.8571       1.0000       0.9231      
090.Red_breasted_Merganser     0.6667       1.0000       0.8000      
091.Mockingbird                0.4000       0.3333       0.3636      
092.Nighthawk                  0.7143       0.8333       0.7692      
093.Clark_Nutcracker           0.8333       0.8333       0.8333      
094.White_breasted_Nuthatch    0.6667       1.0000       0.8000      
095.Baltimore_Oriole           0.6667       0.3333       0.4444      
096.Hooded_Oriole              1.0000       0.5000       0.6667      
097.Orchard_Oriole             1.0000       0.3333       0.5000      
098.Scott_Oriole               0.5714       0.6667       0.6154      
099.Ovenbird                   0.7143       0.8333       0.7692      
100.Brown_Pelican              0.8000       0.6667       0.7273      
101.White_Pelican              0.3333       0.4000       0.3636      
102.Western_Wood_Pewee         0.3333       0.5000       0.4000      
103.Sayornis                   0.6667       0.3333       0.4444      
104.American_Pipit             0.6667       0.6667       0.6667      
105.Whip_poor_Will             0.7500       0.6000       0.6667      
106.Horned_Puffin              0.6000       0.5000       0.5455      
107.Common_Raven               0.3636       0.6667       0.4706      
108.White_necked_Raven         0.5000       0.5000       0.5000      
109.American_Redstart          0.6667       0.6667       0.6667      
110.Geococcyx                  1.0000       0.8333       0.9091      
111.Loggerhead_Shrike          0.5556       0.8333       0.6667      
112.Great_Grey_Shrike          0.2857       0.3333       0.3077      
113.Baird_Sparrow              0.4444       0.8000       0.5714      
114.Black_throated_Sparrow     0.7143       0.8333       0.7692      
115.Brewer_Sparrow             0.5000       0.1667       0.2500      
116.Chipping_Sparrow           0.3333       0.3333       0.3333      
117.Clay_colored_Sparrow       0.3571       0.8333       0.5000      
118.House_Sparrow              0.6000       0.5000       0.5455      
119.Field_Sparrow              1.0000       0.8333       0.9091      
120.Fox_Sparrow                1.0000       0.6667       0.8000      
121.Grasshopper_Sparrow        0.6667       0.3333       0.4444      
122.Harris_Sparrow             0.5714       0.6667       0.6154      
123.Henslow_Sparrow            1.0000       0.3333       0.5000      
124.Le_Conte_Sparrow           0.5000       0.3333       0.4000      
125.Lincoln_Sparrow            0.5714       0.6667       0.6154      
126.Nelson_Sharp_tailed_S...   0.1667       0.1667       0.1667      
127.Savannah_Sparrow           0.7500       0.5000       0.6000      
128.Seaside_Sparrow            0.5556       0.8333       0.6667      
129.Song_Sparrow               0.7500       0.5000       0.6000      
130.Tree_Sparrow               0.3636       0.6667       0.4706      
131.Vesper_Sparrow             0.3333       0.3333       0.3333      
132.White_crowned_Sparrow      0.8000       0.6667       0.7273      
133.White_throated_Sparrow     0.7500       1.0000       0.8571      
134.Cape_Glossy_Starling       1.0000       1.0000       1.0000      
135.Bank_Swallow               0.6667       0.3333       0.4444      
136.Barn_Swallow               0.8000       0.6667       0.7273      
137.Cliff_Swallow              0.6000       0.5000       0.5455      
138.Tree_Swallow               0.6667       0.3333       0.4444      
139.Scarlet_Tanager            1.0000       0.8333       0.9091      
140.Summer_Tanager             0.7143       0.8333       0.7692      
141.Artic_Tern                 0.3750       0.5000       0.4286      
142.Black_Tern                 0.3000       0.5000       0.3750      
143.Caspian_Tern               0.3636       0.6667       0.4706      
144.Common_Tern                0.2000       0.1667       0.1818      
145.Elegant_Tern               0.0000       0.0000       0.0000      
146.Forsters_Tern              0.6667       0.3333       0.4444      
147.Least_Tern                 0.4000       0.3333       0.3636      
148.Green_tailed_Towhee        0.8333       0.8333       0.8333      
149.Brown_Thrasher             0.7500       0.5000       0.6000      
150.Sage_Thrasher              0.7143       0.8333       0.7692      
151.Black_capped_Vireo         1.0000       0.6667       0.8000      
152.Blue_headed_Vireo          0.6667       0.3333       0.4444      
153.Philadelphia_Vireo         0.4444       0.6667       0.5333      
154.Red_eyed_Vireo             0.5000       0.6667       0.5714      
155.Warbling_Vireo             0.2000       0.1667       0.1818      
156.White_eyed_Vireo           0.7143       0.8333       0.7692      
157.Yellow_throated_Vireo      0.2000       0.1667       0.1818      
158.Bay_breasted_Warbler       0.7143       0.8333       0.7692      
159.Black_and_white_Warbler    0.5556       0.8333       0.6667      
160.Black_throated_Blue_W...   0.8000       0.6667       0.7273      
161.Blue_winged_Warbler        0.6250       0.8333       0.7143      
162.Canada_Warbler             0.8333       0.8333       0.8333      
163.Cape_May_Warbler           0.7500       0.5000       0.6000      
164.Cerulean_Warbler           0.6000       1.0000       0.7500      
165.Chestnut_sided_Warbler     0.6000       0.5000       0.5455      
166.Golden_winged_Warbler      0.5714       0.6667       0.6154      
167.Hooded_Warbler             0.7500       1.0000       0.8571      
168.Kentucky_Warbler           0.8333       0.8333       0.8333      
169.Magnolia_Warbler           1.0000       0.8333       0.9091      
170.Mourning_Warbler           0.8000       0.6667       0.7273      
171.Myrtle_Warbler             0.7143       0.8333       0.7692      
172.Nashville_Warbler          0.6250       0.8333       0.7143      
173.Orange_crowned_Warbler     0.5000       0.3333       0.4000      
174.Palm_Warbler               0.6250       0.8333       0.7143      
175.Pine_Warbler               0.4167       0.8333       0.5556      
176.Prairie_Warbler            1.0000       1.0000       1.0000      
177.Prothonotary_Warbler       0.8000       0.6667       0.7273      
178.Swainson_Warbler           0.3750       0.5000       0.4286      
179.Tennessee_Warbler          0.2500       0.3333       0.2857      
180.Wilson_Warbler             0.8333       0.8333       0.8333      
181.Worm_eating_Warbler        1.0000       0.3333       0.5000      
182.Yellow_Warbler             0.8333       0.8333       0.8333      
183.Northern_Waterthrush       0.7500       1.0000       0.8571      
184.Louisiana_Waterthrush      0.5714       0.6667       0.6154      
185.Bohemian_Waxwing           0.8333       0.8333       0.8333      
186.Cedar_Waxwing              1.0000       0.8333       0.9091      
187.American_Three_toed_W...   0.6667       0.8000       0.7273      
188.Pileated_Woodpecker        1.0000       1.0000       1.0000      
189.Red_bellied_Woodpecker     1.0000       0.6667       0.8000      
190.Red_cockaded_Woodpecker    1.0000       1.0000       1.0000      
191.Red_headed_Woodpecker      0.7500       1.0000       0.8571      
192.Downy_Woodpecker           0.8333       0.8333       0.8333      
193.Bewick_Wren                0.5000       0.3333       0.4000      
194.Cactus_Wren                0.8333       0.8333       0.8333      
195.Carolina_Wren              0.6250       0.8333       0.7143      
196.House_Wren                 0.4286       0.5000       0.4615      
197.Marsh_Wren                 0.4286       0.5000       0.4615      
198.Rock_Wren                  0.4286       0.5000       0.4615      
199.Winter_Wren                1.0000       0.3333       0.5000      
200.Common_Yellowthroat        0.8571       1.0000       0.9231      
--------------------------------------------------------------------------------
平均                             0.6497       0.6275       0.6200      
================================================================================
