================================================================================                      
评估报告                                                                                              
================================================================================                      
总体准确率: 77.16%                                                                                    
================================================================================                      
类别                             精确率          召回率          F1分数                               
098.Scott_Oriole               1.0000       0.8333       0.9091                                       
099.Ovenbird                   1.0000       0.6667       0.8000                                       
100.Brown_Pelican              0.8571       1.0000       0.9231                                       
101.White_Pelican              0.8000       0.8000       0.8000                                       
102.Western_Wood_Pewee         0.5556       0.8333       0.6667                                       
103.Sayornis                   0.5000       0.5000       0.5000                                       
104.American_Pipit             0.6000       0.5000       0.5455                                       
105.Whip_poor_Will             0.7500       0.6000       0.6667                                       
106.Horned_Puffin              0.8333       0.8333       0.8333                                       
107.Common_Raven               0.3750       0.5000       0.4286                                       
108.White_necked_Raven         1.0000       0.3333       0.5000             
109.American_Redstart          1.0000       0.6667       0.8000                                       
110.Geococcyx                  0.7143       0.8333       0.7692                                       
111.Loggerhead_Shrike          0.8333       0.8333       0.8333                                       
112.Great_Grey_Shrike          0.6667       0.6667       0.6667                                       
113.Baird_Sparrow              0.8000       0.8000       0.8000                                       
114.Black_throated_Sparrow     0.8333       0.8333       0.8333                                       
115.Brewer_Sparrow             0.5714       0.6667       0.6154                                       
116.Chipping_Sparrow           0.6000       0.5000       0.5455                                       
117.Clay_colored_Sparrow       0.8000       0.6667       0.7273                                       
118.House_Sparrow              0.8333       0.8333       0.8333                                       
119.Field_Sparrow              0.6667       0.6667       0.6667                                       
120.Fox_Sparrow                1.0000       0.6667       0.8000                                       
121.Grasshopper_Sparrow        0.5455       1.0000       0.7059                                       
122.Harris_Sparrow             1.0000       0.5000       0.6667                                       
123.Henslow_Sparrow            0.8571       1.0000       0.9231                                       
124.Le_Conte_Sparrow           1.0000       0.6667       0.8000                                       
125.Lincoln_Sparrow            0.7500       1.0000       0.8571                                       
126.Nelson_Sharp_tailed_S...   0.6667       0.6667       0.6667                                       
127.Savannah_Sparrow           1.0000       0.6667       0.8000                                       
128.Seaside_Sparrow            0.7143       0.8333       0.7692                                       
129.Song_Sparrow               0.6000       1.0000       0.7500                                       
130.Tree_Sparrow               0.5714       0.6667       0.6154                                       
131.Vesper_Sparrow             0.5000       0.6667       0.5714                                       
132.White_crowned_Sparrow      1.0000       0.6667       0.8000                                       
133.White_throated_Sparrow     0.7500       1.0000       0.8571                                       
134.Cape_Glossy_Starling       1.0000       0.8333       0.9091                                       
135.Bank_Swallow               0.4286       0.5000       0.4615                                       
136.Barn_Swallow               0.8000       0.6667       0.7273                                       
137.Cliff_Swallow              1.0000       0.5000       0.6667                                       
138.Tree_Swallow               1.0000       0.6667       0.8000                                       
139.Scarlet_Tanager            0.8571       1.0000       0.9231             
140.Summer_Tanager             0.8571       1.0000       0.9231                                       
141.Artic_Tern                 0.5000       0.6667       0.5714                                       
142.Black_Tern                 0.8000       0.6667       0.7273                                       
143.Caspian_Tern               0.6667       0.6667       0.6667                                       
144.Common_Tern                0.6000       0.5000       0.5455                                       
145.Elegant_Tern               0.7500       0.5000       0.6000                                       
146.Forsters_Tern              0.7143       0.8333       0.7692                                       
147.Least_Tern                 1.0000       0.5000       0.6667                                       
148.Green_tailed_Towhee        1.0000       1.0000       1.0000                                       
149.Brown_Thrasher             1.0000       0.8333       0.9091                                       
150.Sage_Thrasher              0.7143       0.8333       0.7692                                       
151.Black_capped_Vireo         1.0000       0.6667       0.8000                                       
152.Blue_headed_Vireo          0.7143       0.8333       0.7692                                       
153.Philadelphia_Vireo         0.6000       0.5000       0.5455                                       
154.Red_eyed_Vireo             0.8571       1.0000       0.9231                                       
155.Warbling_Vireo             0.5556       0.8333       0.6667                                       
156.White_eyed_Vireo           1.0000       0.8333       0.9091                                       
157.Yellow_throated_Vireo      0.7500       0.5000       0.6000                                       
158.Bay_breasted_Warbler       1.0000       1.0000       1.0000                                       
159.Black_and_white_Warbler    0.8333       0.8333       0.8333                                       
160.Black_throated_Blue_W...   0.6250       0.8333       0.7143                                       
161.Blue_winged_Warbler        0.8571       1.0000       0.9231                                       
162.Canada_Warbler             0.8333       0.8333       0.8333                                       
163.Cape_May_Warbler           0.7143       0.8333       0.7692                                       
164.Cerulean_Warbler           0.7500       1.0000       0.8571                                       
165.Chestnut_sided_Warbler     1.0000       0.8333       0.9091                                       
166.Golden_winged_Warbler      1.0000       0.8333       0.9091                                       
167.Hooded_Warbler             0.8571       1.0000       0.9231                                       
168.Kentucky_Warbler           0.8333       0.8333       0.8333                                       
169.Magnolia_Warbler           1.0000       1.0000       1.0000                                       
170.Mourning_Warbler           0.6000       0.5000       0.5455                                       
171.Myrtle_Warbler             1.0000       1.0000       1.0000                                       
172.Nashville_Warbler          0.6667       1.0000       0.8000                                       
173.Orange_crowned_Warbler     0.7143       0.8333       0.7692                                       
174.Palm_Warbler               0.6667       1.0000       0.8000                                       
175.Pine_Warbler               0.5556       0.8333       0.6667      
176.Prairie_Warbler            1.0000       1.0000       1.0000                                       
177.Prothonotary_Warbler       1.0000       0.8333       0.9091                                       
178.Swainson_Warbler           0.8000       0.6667       0.7273                                       
179.Tennessee_Warbler          0.6000       0.5000       0.5455                                       
180.Wilson_Warbler             1.0000       0.8333       0.9091                                       
181.Worm_eating_Warbler        1.0000       0.5000       0.6667                                       
182.Yellow_Warbler             0.8571       1.0000       0.9231                                       
183.Northern_Waterthrush       0.8571       1.0000       0.9231                                       
184.Louisiana_Waterthrush      1.0000       0.8333       0.9091                                       
185.Bohemian_Waxwing           1.0000       1.0000       1.0000                                       
186.Cedar_Waxwing              1.0000       1.0000       1.0000                                       
187.American_Three_toed_W...   0.8000       0.8000       0.8000                                       
188.Pileated_Woodpecker        1.0000       1.0000       1.0000                                       
189.Red_bellied_Woodpecker     1.0000       0.8333       0.9091                                       
190.Red_cockaded_Woodpecker    0.8571       1.0000       0.9231                                       
191.Red_headed_Woodpecker      1.0000       1.0000       1.0000                                       
192.Downy_Woodpecker           1.0000       1.0000       1.0000                                       
193.Bewick_Wren                0.8333       0.8333       0.8333                                       
194.Cactus_Wren                1.0000       0.6667       0.8000                                       
195.Carolina_Wren              1.0000       1.0000       1.0000                                       
196.House_Wren                 0.5000       0.5000       0.5000                                       
197.Marsh_Wren                 0.8000       0.6667       0.7273                                       
198.Rock_Wren                  0.7143       0.8333       0.7692                                       
199.Winter_Wren                0.8333       0.8333       0.8333                                       
200.Common_Yellowthroat        1.0000       0.8333       0.9091                                       
--------------------------------------------------------------------------------                      
平均                             0.7999       0.7710       0.7704                                     
================================================================================     
