================================================================================                 
评估报告                                                                                         
================================================================================                 
总体准确率: 56.93%                                                                               
================================================================================                 
类别                             精确率          召回率          F1分数                          
041.Scissor_tailed_Flycat...   0.4545       0.8333       0.5882      
042.Vermilion_Flycatcher       1.0000       0.1667       0.2857      
043.Yellow_bellied_Flycat...   0.3000       0.5000       0.3750      
044.Frigatebird                0.4000       0.6667       0.5000      
045.Northern_Fulmar            0.0000       0.0000       0.0000      
046.Gadwall                    0.7500       0.5000       0.6000      
047.American_Goldfinch         1.0000       0.8333       0.9091      
048.European_Goldfinch         1.0000       0.8333       0.9091      
049.Boat_tailed_Grackle        0.3846       0.8333       0.5263      
050.Eared_Grebe                0.6000       0.5000       0.5455      
051.Horned_Grebe               0.5556       0.8333       0.6667      
052.Pied_billed_Grebe          0.8571       1.0000       0.9231      
053.Western_Grebe              0.6667       0.6667       0.6667      
054.Blue_Grosbeak              0.7500       0.5000       0.6000      
055.Evening_Grosbeak           1.0000       1.0000       1.0000      
056.Pine_Grosbeak              1.0000       0.6667       0.8000      
057.Rose_breasted_Grosbeak     1.0000       0.6667       0.8000      
058.Pigeon_Guillemot           1.0000       0.1667       0.2857      
059.California_Gull            0.5000       0.1667       0.2500      
060.Glaucous_winged_Gull       0.2500       0.1667       0.2000      
061.Heermann_Gull              0.7500       0.5000       0.6000      
062.Herring_Gull               0.5000       0.6667       0.5714      
063.Ivory_Gull                 0.3333       0.6667       0.4444      
064.Ring_billed_Gull           0.3333       0.1667       0.2222      
065.Slaty_backed_Gull          0.2500       0.2000       0.2222      
066.Western_Gull               0.4286       0.5000       0.4615      
067.Anna_Hummingbird           0.3333       0.5000       0.4000      
068.Ruby_throated_Humming...   0.1429       0.3333       0.2000      
069.Rufous_Hummingbird         0.8000       0.6667       0.7273      
070.Green_Violetear            0.8333       0.8333       0.8333      
071.Long_tailed_Jaeger         0.0000       0.0000       0.0000      
072.Pomarine_Jaeger            0.5000       0.3333       0.4000      
073.Blue_Jay                   1.0000       0.5000       0.6667      
074.Florida_Jay                0.7500       0.5000       0.6000      
075.Green_Jay                  0.7500       0.5000       0.6000      
076.Dark_eyed_Junco            0.3333       0.1667       0.2222      
077.Tropical_Kingbird          1.0000       0.3333       0.5000      
078.Gray_Kingbird              0.5000       0.1667       0.2500      
079.Belted_Kingfisher          0.6000       0.5000       0.5455      
080.Green_Kingfisher           0.2857       0.3333       0.3077      
081.Pied_Kingfisher            0.7143       0.8333       0.7692      
082.Ringed_Kingfisher          1.0000       0.5000       0.6667      
083.White_breasted_Kingfi...   0.4000       1.0000       0.5714      
084.Red_legged_Kittiwake       1.0000       0.6667       0.8000      
085.Horned_Lark                1.0000       0.6667       0.8000      
086.Pacific_Loon               0.3750       1.0000       0.5455      
087.Mallard                    0.7500       0.5000       0.6000      
088.Western_Meadowlark         1.0000       0.8333       0.9091      
089.Hooded_Merganser           0.6000       1.0000       0.7500      
090.Red_breasted_Merganser     0.4444       0.6667       0.5333      
091.Mockingbird                0.3333       0.5000       0.4000      
092.Nighthawk                  0.5000       0.8333       0.6250      
093.Clark_Nutcracker           1.0000       0.6667       0.8000      
094.White_breasted_Nuthatch    0.7143       0.8333       0.7692      
095.Baltimore_Oriole           0.6667       0.3333       0.4444      
096.Hooded_Oriole              0.5455       1.0000       0.7059      
097.Orchard_Oriole             0.4000       0.3333       0.3636      
098.Scott_Oriole               0.6000       0.5000       0.5455      
099.Ovenbird                   1.0000       0.5000       0.6667      
100.Brown_Pelican              0.2000       0.1667       0.1818      
101.White_Pelican              0.5000       0.4000       0.4444      
102.Western_Wood_Pewee         0.3000       0.5000       0.3750      
103.Sayornis                   0.2500       0.1667       0.2000      
104.American_Pipit             0.4000       0.3333       0.3636      
105.Whip_poor_Will             0.5000       0.4000       0.4444      
106.Horned_Puffin              0.8000       0.6667       0.7273      
107.Common_Raven               0.5000       0.1667       0.2500      
108.White_necked_Raven         0.4286       0.5000       0.4615      
109.American_Redstart          1.0000       0.6667       0.8000      
110.Geococcyx                  0.7143       0.8333       0.7692      
111.Loggerhead_Shrike          1.0000       1.0000       1.0000      
112.Great_Grey_Shrike          0.5000       0.5000       0.5000      
113.Baird_Sparrow              0.8000       0.8000       0.8000      
114.Black_throated_Sparrow     0.6667       0.6667       0.6667      
115.Brewer_Sparrow             0.1667       0.1667       0.1667      
116.Chipping_Sparrow           0.4000       0.3333       0.3636      
117.Clay_colored_Sparrow       0.2857       0.6667       0.4000      
118.House_Sparrow              0.5455       1.0000       0.7059      
119.Field_Sparrow              1.0000       0.3333       0.5000     
120.Fox_Sparrow                0.7500       0.5000       0.6000      
121.Grasshopper_Sparrow        0.8571       1.0000       0.9231      
122.Harris_Sparrow             0.5000       0.1667       0.2500      
123.Henslow_Sparrow            0.5000       0.5000       0.5000      
124.Le_Conte_Sparrow           0.3333       0.1667       0.2222      
125.Lincoln_Sparrow            0.7500       1.0000       0.8571      
126.Nelson_Sharp_tailed_S...   0.4286       0.5000       0.4615      
127.Savannah_Sparrow           0.4000       0.3333       0.3636      
128.Seaside_Sparrow            0.2857       0.3333       0.3077      
129.Song_Sparrow               0.6667       1.0000       0.8000      
130.Tree_Sparrow               1.0000       0.5000       0.6667      
131.Vesper_Sparrow             0.1250       0.1667       0.1429      
132.White_crowned_Sparrow      1.0000       0.6667       0.8000      
133.White_throated_Sparrow     0.8000       0.6667       0.7273      
134.Cape_Glossy_Starling       0.6000       0.5000       0.5455      
135.Bank_Swallow               0.3333       0.1667       0.2222      
136.Barn_Swallow               0.7500       0.5000       0.6000      
137.Cliff_Swallow              0.6250       0.8333       0.7143      
138.Tree_Swallow               1.0000       0.3333       0.5000      
139.Scarlet_Tanager            0.7500       0.5000       0.6000      
140.Summer_Tanager             0.5000       0.5000       0.5000      
141.Artic_Tern                 0.7500       0.5000       0.6000      
142.Black_Tern                 0.2500       0.3333       0.2857      
143.Caspian_Tern               0.5714       0.6667       0.6154      
144.Common_Tern                0.2222       0.3333       0.2667      
145.Elegant_Tern               0.0909       0.1667       0.1176      
146.Forsters_Tern              0.6667       0.3333       0.4444      
147.Least_Tern                 0.3750       0.5000       0.4286      
148.Green_tailed_Towhee        0.8333       0.8333       0.8333      
149.Brown_Thrasher             0.8000       0.6667       0.7273      
150.Sage_Thrasher              0.2500       0.3333       0.2857      
151.Black_capped_Vireo         0.7500       0.5000       0.6000      
152.Blue_headed_Vireo          0.6667       0.3333       0.4444      
153.Philadelphia_Vireo         0.2500       0.1667       0.2000      
154.Red_eyed_Vireo             0.8000       0.6667       0.7273      
155.Warbling_Vireo             0.3333       0.6667       0.4444      
156.White_eyed_Vireo           0.7143       0.8333       0.7692      
157.Yellow_throated_Vireo      0.6667       0.3333       0.4444      
158.Bay_breasted_Warbler       0.6667       1.0000       0.8000      
159.Black_and_white_Warbler    0.5455       1.0000       0.7059      
160.Black_throated_Blue_W...   0.7500       0.5000       0.6000      
161.Blue_winged_Warbler        1.0000       0.5000       0.6667      
162.Canada_Warbler             0.8333       0.8333       0.8333      
163.Cape_May_Warbler           0.8000       0.6667       0.7273      
164.Cerulean_Warbler           1.0000       0.6667       0.8000      
165.Chestnut_sided_Warbler     1.0000       0.6667       0.8000      
166.Golden_winged_Warbler      0.5000       0.5000       0.5000      
167.Hooded_Warbler             1.0000       0.8333       0.9091      
168.Kentucky_Warbler           0.6667       0.6667       0.6667      
169.Magnolia_Warbler           1.0000       0.8333       0.9091      
170.Mourning_Warbler           0.7500       0.5000       0.6000      
171.Myrtle_Warbler             0.8000       0.6667       0.7273      
172.Nashville_Warbler          0.8333       0.8333       0.8333      
173.Orange_crowned_Warbler     0.8000       0.6667       0.7273      
174.Palm_Warbler               0.8000       0.6667       0.7273      
175.Pine_Warbler               0.5000       0.8333       0.6250      
176.Prairie_Warbler            0.8333       0.8333       0.8333      
177.Prothonotary_Warbler       0.7500       1.0000       0.8571      
178.Swainson_Warbler           1.0000       0.3333       0.5000      
179.Tennessee_Warbler          1.0000       0.3333       0.5000      
180.Wilson_Warbler             1.0000       0.6667       0.8000      
181.Worm_eating_Warbler        0.7500       0.5000       0.6000      
182.Yellow_Warbler             0.5556       0.8333       0.6667      
183.Northern_Waterthrush       1.0000       0.6667       0.8000      
184.Louisiana_Waterthrush      0.5714       0.6667       0.6154      
185.Bohemian_Waxwing           1.0000       1.0000       1.0000      
186.Cedar_Waxwing              0.6250       0.8333       0.7143      
187.American_Three_toed_W...   0.5000       0.2000       0.2857      
188.Pileated_Woodpecker        0.8571       1.0000       0.9231      
189.Red_bellied_Woodpecker     1.0000       0.8333       0.9091      
190.Red_cockaded_Woodpecker    0.8333       0.8333       0.8333      
191.Red_headed_Woodpecker      1.0000       0.5000       0.6667      
192.Downy_Woodpecker           1.0000       1.0000       1.0000      
193.Bewick_Wren                0.4286       0.5000       0.4615      
194.Cactus_Wren                1.0000       0.3333       0.5000      
195.Carolina_Wren              0.6250       0.8333       0.7143      
196.House_Wren                 0.5000       0.3333       0.4000      
197.Marsh_Wren                 0.2857       0.6667       0.4000      
198.Rock_Wren                  0.4000       0.6667       0.5000      
199.Winter_Wren                0.6000       0.5000       0.5455      
200.Common_Yellowthroat        0.8000       0.6667       0.7273      
--------------------------------------------------------------------------------
平均                             0.6299       0.5678       0.5652      
================================================================================
